Biotop;percentage;nPatches;
bio_565272008;91;81;
bio_563180019;66;93;
bio_565511917;97;192;
bio_563010062;55;108;
bio_564030048;71;71;
bio_565275020;86;30;
bio_565011438;80;36;
bio_565314961;100;15;
bio_563010065;49;93;
bio_565015054;87;63;
bio_563010091;28;25;
bio_563180021;70;62;
bio_565015062;76;34;
bio_563130142;66;24;
bio_564140085;60;46;
bio_564040103;68;19;
bio_565491551;92;219;
bio_564080113;60;35;
bio_565275029;48;39;
bio_565325042;87;16;
bio_564080114;51;27;
bio_565290528;53;13;
bio_565350011;69;13;
bio_565180163;100;27;
bio_565274993;87;156;
bio_565390267;80;42;
bio_563170097;100;16;
bio_565274967;88;240;
bio_565325029;100;29;
bio_565492945;80;90;
bio_565030188;83;48;
bio_564040168;69;23;
bio_565040039;40;27;
bio_564130169;51;41;
bio_563030099;92;13;
bio_565030175;90;53;
bio_565040008;56;41;
bio_565430183;70;58;
bio_565430177;55;63;
bio_565040205;65;20;
bio_563190019;72;111;
bio_565011695;92;132;
bio_565030186;82;64;
bio_565016020;89;19;
bio_565314951;96;183;
bio_565160145;75;8;
bio_565271018;86;129;
bio_564030040;76;171;
bio_565271215;92;80;
bio_565350010;64;39;
bio_565491568;29;61;
bio_563130143;71;32;
bio_564150216;86;50;
bio_565160142;81;60;
bio_565503071;78;19;
bio_563010099;60;46;
bio_565272007;93;127;
bio_564080112;69;120;
bio_565275019;94;17;
bio_563010064;57;144;
bio_565290527;40;10;
bio_563180020;59;47;
bio_563010063;72;166;
bio_564010227;90;97;
bio_564040301;76;67;
bio_564080123;34;29;
bio_565131970;90;41;
bio_565275021;96;30;
bio_565013108;92;125;
bio_565350086;94;19;
bio_565030187;63;11;
bio_563170054;94;488;
bio_565290110;55;38;
bio_563190018;70;92;
bio_565030173;77;18;
bio_565350081;92;25;
bio_565340213;68;41;
bio_563190020;58;94;
bio_563030098;82;51;
bio_564130168;48;39;
bio_564150046;83;56;
bio_565360089;93;293;
bio_563200139;79;92;
bio_565271080;80;26;
bio_565160129;59;22;
bio_565350043;90;71;
bio_565030189;100;28;
bio_564050102;61;13;
bio_565430178;76;38;
bio_565274959;98;59;
bio_565275043;85;28;
bio_563200108;89;65;
bio_565030145;61;52;
bio_563030096;88;136;
bio_565274992;86;138;
bio_565283027;83;31;
bio_564120047;62;16;
bio_565283016;89;167;
bio_565272128;95;40;
bio_564040220;75;16;
bio_565410060;66;18;
bio_565324086;93;145;
bio_565180213;96;53;
bio_565283011;77;76;
bio_565011712;93;255;
bio_565180214;90;31;
bio_565015977;84;13;
bio_563080241;79;74;
bio_564140158;41;29;
bio_564160309;61;36;
bio_565505057;80;31;
bio_565321137;94;147;
bio_565560004;100;7;
bio_565282994;72;79;
bio_565511403;83;112;
bio_564070076;80;5;
bio_564110227;57;89;
bio_563150111;90;11;
bio_564150193;86;69;
bio_565290452;56;23;
bio_565380128;77;18;
bio_564020168;80;76;
bio_565560003;88;67;
bio_564020157;71;28;
bio_564070071;75;20;
bio_565272940;96;65;
bio_564040289;63;77;
bio_565272982;96;25;
bio_565290463;82;34;
bio_565242941;91;73;
bio_564020161;82;75;
bio_564020159;92;67;
bio_563150118;91;60;
bio_565290490;78;69;
bio_564130272;86;22;
bio_565242946;95;49;
bio_565322348;97;81;
bio_565283010;100;9;
bio_565505056;100;38;
bio_563070052;56;160;
bio_565324073;94;247;
bio_563080247;74;70;
bio_565015971;86;45;
bio_564110078;47;34;
bio_565241596;75;105;
bio_565324087;92;241;
bio_565283028;82;56;
bio_565290260;66;3;
bio_565505058;100;35;
bio_564140157;50;44;
bio_565290603;37;8;
bio_565521468;100;30;
bio_563080249;57;49;
bio_564090059;78;19;
bio_565375042;93;49;
bio_565283019;71;39;
bio_563080276;82;52;
bio_564020158;70;62;
bio_565521631;100;4;
bio_563040038;60;25;
bio_563090088;93;31;
bio_565271198;95;41;
bio_564020160;68;91;
bio_565013021;93;306;
bio_565272370;100;16;
bio_565380129;70;79;
bio_564020156;71;64;
bio_564040281;62;54;
bio_565290202;53;15;
bio_565282995;83;67;
bio_564160151;100;9;
bio_563120055;80;35;
bio_564020173;100;18;
bio_563120084;48;31;
bio_563110047;73;15;
bio_563170156;66;30;
bio_563110078;90;40;
bio_565501487;94;171;
bio_564130256;78;14;
bio_565511429;76;200;
bio_565013004;84;101;
bio_564040266;48;31;
bio_563080254;80;67;
bio_565283004;76;21;
bio_564140172;64;104;
bio_565505089;98;73;
bio_563080253;76;102;
bio_565015965;71;14;
bio_565290619;41;17;
bio_565324093;89;139;
bio_564060256;72;55;
bio_564140181;48;25;
bio_564140175;31;51;
bio_565290626;55;20;
bio_565283003;88;42;
bio_563100071;59;22;
bio_564150325;74;39;
bio_565390134;60;5;
bio_564130234;75;41;
bio_564140143;60;33;
bio_563090004;89;120;
bio_563030105;91;47;
bio_565374987;100;19;
bio_563170166;84;46;
bio_564040293;53;28;
bio_563110048;100;52;
bio_565340114;100;5;
bio_565282148;90;44;
bio_565511417;75;107;
bio_565272998;96;29;
bio_565290025;67;34;
bio_563170161;86;90;
bio_564150174;86;15;
bio_563170157;93;60;
bio_564140111;76;381;
bio_564020172;81;11;
bio_564130259;69;69;
bio_563120049;86;142;
bio_565015955;76;47;
bio_565013058;72;33;
bio_565290629;71;35;
bio_565282571;93;112;
bio_565272931;85;27;
bio_565013093;89;185;
bio_564050097;84;65;
bio_563040041;42;19;
bio_565430021;88;9;
bio_565070169;100;11;
bio_565070156;80;5;
bio_565374981;87;32;
bio_563040046;27;47;
bio_564130235;71;32;
bio_565015999;96;27;
bio_564150324;73;131;
bio_565290618;77;67;
bio_563080252;57;33;
bio_565283002;70;58;
bio_564020117;72;62;
bio_564140174;60;51;
bio_563070047;36;38;
bio_565180238;100;39;
bio_564140180;63;55;
bio_563080067;79;34;
bio_565015963;90;31;
bio_563040048;33;109;
bio_565542589;87;100;
bio_563100077;71;21;
bio_565070167;84;25;
bio_565290620;73;15;
bio_564140173;75;94;
bio_565283005;82;58;
bio_565013051;95;141;
bio_565350059;53;13;
bio_564090108;84;50;
bio_563190033;47;19;
bio_564010258;94;71;
bio_565430196;79;24;
bio_564150052;64;14;
bio_564010260;93;63;
bio_565492501;71;229;
bio_565430191;66;6;
bio_565450074;72;18;
bio_564130188;72;25;
bio_565274975;96;27;
bio_565030169;75;8;
bio_564160098;76;52;
bio_564130172;40;20;
bio_565030151;60;46;
bio_565180149;82;63;
bio_565180182;81;32;
bio_565325003;100;13;
bio_564080101;48;33;
bio_565271201;96;33;
bio_564140063;57;135;
bio_565501500;96;50;
bio_563010079;89;29;
bio_565013945;99;249;
bio_564080106;50;34;
bio_565390013;85;14;
bio_565491544;92;311;
bio_565271239;86;22;
bio_571080915;100;19;
bio_565275032;93;47;
bio_565040085;75;40;
bio_565325061;59;72;
bio_564080108;42;28;
bio_563010077;85;47;
bio_565390210;72;22;
bio_564040315;77;218;
bio_565274973;99;130;
bio_565340005;65;20;
bio_565325002;98;137;
bio_565492956;51;29;
bio_564010065;84;38;
bio_563020024;61;52;
bio_565492951;69;36;
bio_565030168;70;75;
bio_565016033;83;73;
bio_564010261;73;94;
bio_565325033;66;12;
bio_565272084;92;82;
bio_564130189;44;54;
bio_565511395;92;251;
bio_565430197;90;20;
bio_564010259;92;27;
bio_564090162;66;42;
bio_565275034;97;36;
bio_565350033;65;23;
bio_564040314;62;120;
bio_564080109;66;48;
bio_564110172;56;16;
bio_563010078;77;109;
bio_564080107;50;51;
bio_565374051;83;259;
bio_565271238;98;70;
bio_564100117;76;52;
bio_565501506;100;33;
bio_565374056;91;99;
bio_564080100;72;50;
bio_565030104;90;66;
bio_565314944;80;25;
bio_565180193;100;12;
bio_565274963;93;31;
bio_564090117;63;19;
bio_565410121;100;5;
bio_565030147;63;33;
bio_565430189;88;42;
bio_565070035;85;7;
bio_565013103;61;21;
bio_565410117;58;41;
bio_565290582;86;46;
bio_565492948;100;12;
bio_565016023;89;29;
bio_565274955;100;34;
bio_565160122;78;14;
bio_565491968;70;163;
bio_563180022;64;42;
bio_565030125;91;35;
bio_564040131;46;15;
bio_563010061;100;131;
bio_565511587;92;63;
bio_565272206;86;30;
bio_564130139;42;14;
bio_565015066;80;81;
bio_564040107;41;55;
bio_564030042;72;18;
bio_564100107;75;112;
bio_565511922;76;21;
bio_565275015;100;16;
bio_565271025;84;13;
bio_565410175;78;23;
bio_563010068;40;121;
bio_565511925;86;23;
bio_564100100;77;117;
bio_565015061;92;52;
bio_563130141;70;90;
bio_565430111;80;5;
bio_564080110;56;51;
bio_565374046;83;68;
bio_565275012;100;67;
bio_565030177;86;36;
bio_564040163;61;78;
bio_565390254;69;49;
bio_565274954;97;78;
bio_564010089;87;86;
bio_565180157;96;28;
bio_565011451;100;16;
bio_565492949;91;37;
bio_565030184;82;35;
bio_565503028;94;79;
bio_565180168;84;70;
bio_565011697;90;332;
bio_565040035;59;37;
bio_565180161;100;15;
bio_565030179;84;13;
bio_565274965;95;49;
bio_564130165;46;13;
bio_565030146;80;46;
bio_563030095;81;37;
bio_565274991;100;15;
bio_565450055;86;15;
bio_565492947;84;33;
bio_565274962;96;50;
bio_563130140;51;66;
bio_564150215;94;53;
bio_565374047;82;100;
bio_565271211;91;57;
bio_564110152;21;19;
bio_564040106;53;45;
bio_564100106;76;17;
bio_565390003;64;17;
bio_564080116;29;24;
bio_565503075;98;75;
bio_565070056;62;40;
bio_565501519;92;157;
bio_565324998;90;42;
bio_565271220;97;91;
bio_563180024;47;55;
bio_565275022;100;36;
bio_563150093;89;66;
bio_565491565;71;238;
bio_563010067;77;67;
bio_565450037;75;36;
bio_563180023;61;112;
bio_565340104;78;19;
bio_564020154;88;84;
bio_564110223;33;36;
bio_563170176;81;22;
bio_565501498;100;27;
bio_565390140;95;22;
bio_564040277;34;50;
bio_565282997;90;81;
bio_564080099;31;29;
bio_563170171;92;52;
bio_564070075;71;7;
bio_565290451;54;93;
bio_564130247;50;10;
bio_564040279;48;58;
bio_565242945;77;95;
bio_565290231;88;26;
bio_565511431;78;143;
bio_564080097;52;53;
bio_563080227;71;49;
bio_564020162;72;65;
bio_565282999;82;35;
bio_565242942;82;175;
bio_564060222;77;18;
bio_565180219;92;53;
bio_565160058;75;28;
bio_565505065;100;25;
bio_564060249;63;71;
bio_565505091;90;10;
bio_563070059;44;61;
bio_564110080;56;25;
bio_565283024;92;38;
bio_563080274;90;163;
bio_565410052;82;40;
bio_564060247;22;9;
bio_565070184;86;15;
bio_563070057;39;53;
bio_565070170;100;25;
bio_565283012;95;158;
bio_565180217;64;85;
bio_565290608;76;65;
bio_565283015;86;385;
bio_565290630;62;29;
bio_565380140;88;18;
bio_565290059;39;53;
bio_565271301;76;93;
bio_565015987;84;19;
bio_565300210;77;9;
bio_563080226;84;73;
bio_564160197;50;24;
bio_565290461;58;24;
bio_565242943;84;32;
bio_564020163;80;56;
bio_565501497;98;53;
bio_564010198;85;80;
bio_564020164;58;63;
bio_565272973;96;33;
bio_565290492;73;45;
bio_565282996;80;115;
bio_565271195;96;127;
bio_564070074;57;19;
bio_565290450;54;33;
bio_564080098;45;37;
bio_565560001;93;16;
bio_565282159;65;275;
bio_563200022;87;70;
bio_564020155;94;69;
bio_563070051;58;39;
bio_565521465;94;18;
bio_565505052;97;35;
bio_565324084;93;64;
bio_565180216;92;178;
bio_565015975;96;25;
bio_564140153;40;50;
bio_565015988;82;41;
bio_565321168;85;34;
bio_563070060;55;59;
bio_565340194;76;13;
bio_565271103;97;41;
bio_565180220;47;97;
bio_564120045;86;30;
bio_565241568;71;110;
bio_565013082;86;30;
bio_563040050;43;16;
bio_565290435;35;31;
bio_565505064;100;37;
bio_563080250;79;39;
bio_565015966;100;17;
bio_564140149;41;24;
bio_564140182;43;23;
bio_565040199;64;53;
bio_565430012;83;37;
bio_565180202;100;101;
bio_564110057;57;19;
bio_565283007;85;91;
bio_565340180;92;13;
bio_565505077;77;22;
bio_564140178;52;74;
bio_565180234;96;115;
bio_563030106;90;33;
bio_563040043;41;344;
bio_564070005;64;34;
bio_563040044;36;76;
bio_565290011;58;51;
bio_563170155;78;47;
bio_564080049;80;30;
bio_565272351;90;33;
bio_564020170;80;46;
bio_564040095;61;49;
bio_565160021;90;40;
bio_563080235;88;17;
bio_563170164;80;31;
bio_563110081;65;26;
bio_564130252;47;19;
bio_564040265;41;60;
bio_564020179;87;8;
bio_563200031;83;56;
bio_565350142;73;19;
bio_563110072;80;15;
bio_563170163;75;20;
bio_565511412;81;207;
bio_564130209;73;19;
bio_565272304;88;98;
bio_564070004;89;28;
bio_565290044;61;13;
bio_564160310;81;65;
bio_565070155;100;5;
bio_564020122;100;21;
bio_564140141;70;168;
bio_563040045;35;42;
bio_565040196;73;76;
bio_564040201;72;33;
bio_565272935;94;38;
bio_565015956;70;31;
bio_563080260;93;48;
bio_565375054;70;20;
bio_564140179;64;14;
bio_564150320;69;49;
bio_565290043;50;4;
bio_565374978;73;53;
bio_563080256;43;44;
bio_564140184;50;6;
bio_563100080;56;72;
bio_565283006;50;4;
bio_564130207;57;7;
bio_565274031;94;53;
bio_563080251;72;106;
bio_564140177;75;8;
bio_565410048;72;61;
bio_565070163;90;20;
bio_564140183;50;6;
bio_565013001;87;73;
bio_563120044;91;173;
bio_564040290;56;53;
bio_564020171;60;5;
bio_565180053;79;72;
bio_564040299;33;12;
bio_564080070;88;45;
bio_565272196;97;37;
bio_563080233;82;62;
bio_564040318;67;56;
bio_564080105;52;21;
bio_565491547;66;204;
bio_564040327;50;40;
bio_565492938;97;173;
bio_564080102;67;78;
bio_565271202;100;24;
bio_565275000;75;16;
bio_565350038;82;17;
bio_564030057;76;21;
bio_565272028;87;98;
bio_565325062;61;139;
bio_563010080;89;38;
bio_565131960;91;59;
bio_565325065;75;37;
bio_565350009;57;19;
bio_563130136;82;40;
bio_564130140;75;62;
bio_565340204;89;46;
bio_565325031;84;53;
bio_565030190;85;56;
bio_565300188;100;2;
bio_564130178;37;16;
bio_565340203;82;50;
bio_565430195;80;15;
bio_565360090;89;19;
bio_565492954;98;187;
bio_565380028;89;68;
bio_563130138;56;32;
bio_565180175;85;14;
bio_565274982;100;4;
bio_564010067;81;111;
bio_565040010;63;22;
bio_565290552;72;51;
bio_564050115;46;15;
bio_565271097;86;82;
bio_565503032;100;17;
bio_565492953;79;34;
bio_565325064;80;46;
bio_564030058;61;18;
bio_565350008;65;32;
bio_565325063;78;51;
bio_565275008;100;13;
bio_564040317;65;96;
bio_564110171;62;16;
bio_563010088;37;37;
bio_565220031;80;21;
bio_564080103;46;30;
bio_565271203;92;28;
bio_565040089;78;28;
bio_564040321;69;42;
bio_565015072;90;53;
bio_564080104;50;131;
bio_564040319;53;41;
bio_565131957;92;14;
bio_571080921;100;9;
bio_565290553;42;19;
bio_565016006;100;27;
bio_564160263;57;35;
bio_564010066;79;48;
bio_565030154;93;129;
bio_564130148;77;18;
bio_564090104;75;28;
bio_564160290;84;26;
bio_565390270;87;31;
bio_564130170;71;64;
bio_565040029;55;52;
bio_565180174;100;42;
bio_563130139;73;30;
bio_565030198;88;60;
bio_565492955;80;120;
bio_565430156;91;24;
bio_564010057;87;32;
bio_565011682;93;32;
bio_565271098;97;39;
bio_565030191;76;26;
bio_564130146;66;24;
bio_565340202;70;24;
bio_563130137;85;21;
bio_564010262;91;58;
bio_565275064;83;18;
